Worker ID, File, Total Time (ms), lateFile?, totalSpans, parser nodes, typer nodes, LoC, LoC/s
2, api/api/src/main/scala/uk/ac/wellcome/platform/api/services/WorksService.scala, 101606, false, 59340, 398, 106827, 88, 1
1, api/api/src/main/scala/uk/ac/wellcome/platform/api/controllers/WorksController.scala, 2460, false, 258, 1186, 2307, 295, 120
0, api/api/src/main/scala/uk/ac/wellcome/platform/api/services/ElasticsearchService.scala, 1251, false, 113, 510, 1181, 105, 84
0, api/api/src/main/scala/uk/ac/wellcome/platform/api/Server.scala, 820, false, 45, 146, 321, 46, 56
2, api/api/src/main/scala/uk/ac/wellcome/platform/api/finatra/exceptions/GeneralExceptionMapper.scala, 820, false, 45, 153, 169, 29, 35
3, api/api/src/main/scala/uk/ac/wellcome/platform/api/controllers/RedirectedWorkController.scala, 774, false, 34, 78, 89, 21, 27
3, api/api/src/main/scala/uk/ac/wellcome/platform/api/models/WorkFilter.scala, 646, false, 79, 136, 795, 17, 26
0, api/api/src/main/scala/uk/ac/wellcome/platform/api/finatra/exceptions/package.scala, 619, false, 33, 79, 95, 12, 19
2, api/api/src/main/scala/uk/ac/wellcome/platform/api/controllers/V2WorksController.scala, 570, false, 113, 336, 937, 81, 142
3, api/api/src/main/scala/uk/ac/wellcome/platform/api/responses/Responses.scala, 557, false, 143, 376, 1143, 64, 115
0, api/api/src/main/scala/uk/ac/wellcome/platform/api/finatra/exceptions/CaseClassMappingExceptionWrapper.scala, 538, false, 47, 172, 201, 32, 59
3, api/api/src/main/scala/uk/ac/wellcome/platform/api/controllers/ManagementController.scala, 493, false, 39, 104, 255, 21, 43
3, api/api/src/main/scala/uk/ac/wellcome/platform/api/controllers/MissingPathController.scala, 458, false, 38, 113, 193, 20, 44
2, api/api/src/main/scala/uk/ac/wellcome/platform/api/models/WorkQuery.scala, 432, false, 96, 175, 963, 56, 130
0, api/api/src/main/scala/uk/ac/wellcome/platform/api/controllers/V1WorksController.scala, 423, false, 73, 164, 428, 37, 87
1, api/api/src/main/scala/uk/ac/wellcome/platform/api/models/ResultList.scala, 420, false, 46, 41, 288, 6, 14
2, api/api/src/main/scala/uk/ac/wellcome/platform/api/requests/Requests.scala, 286, false, 250, 630, 2045, 66, 231
3, api/api/src/main/scala/uk/ac/wellcome/platform/api/models/DisplayResultList.scala, 277, false, 86, 226, 537, 32, 116
1, api/api/src/main/scala/uk/ac/wellcome/platform/api/controllers/DocsController.scala, 255, false, 48, 198, 273, 42, 165
3, api/api/src/main/scala/uk/ac/wellcome/platform/api/elasticsearch/ElasticClientModule.scala, 178, false, 41, 110, 157, 24, 135
0, api/api/src/main/scala/uk/ac/wellcome/platform/api/models/DisplayError.scala, 172, false, 66, 182, 429, 33, 192
1, api/api/src/main/scala/uk/ac/wellcome/platform/api/elasticsearch/ElasticConfigModule.scala, 153, false, 35, 72, 117, 16, 105
0, api/api/src/main/scala/uk/ac/wellcome/platform/api/elasticsearch/ElasticErrorHandler.scala, 130, false, 45, 232, 309, 50, 385
0, api/api/src/main/scala/uk/ac/wellcome/platform/api/akka/ExecutionContextModule.scala, 109, false, 34, 49, 56, 12, 110
1, api/api/src/main/scala/uk/ac/wellcome/platform/api/akka/AkkaModule.scala, 105, false, 34, 57, 71, 14, 133
1, api/api/src/main/scala/uk/ac/wellcome/platform/api/controllers/ContextController.scala, 91, false, 36, 96, 157, 18, 198
1, api/api/src/main/scala/uk/ac/wellcome/platform/api/modules/ApiConfigModule.scala, 88, false, 42, 145, 188, 32, 364
2, api/api/src/main/scala/uk/ac/wellcome/platform/api/akka/GuiceAkkaExtension.scala, 78, false, 64, 172, 216, 39, 500
2, api/api/src/main/scala/uk/ac/wellcome/platform/api/models/ApiConfig.scala, 56, false, 63, 48, 437, 8, 143
2, api/api/src/main/scala/uk/ac/wellcome/platform/api/models/Error.scala, 53, false, 65, 168, 498, 45, 849
2, api/api/src/main/scala/uk/ac/wellcome/platform/api/finatra/exceptions/package.scala, 44, false, 33, 79, 95, 12, 273
1, api/api/src/main/scala/uk/ac/wellcome/platform/api/ContextHelper.scala, 24, false, 32, 57, 75, 8, 333
