conceptid,imageid1,imageid2,imageid3,imageid4,labeloverride,description,Name
zbus63qt,a237hx2d,a2496x7s,a25c8gmj,a275rndj,Acquired Immunodeficiency Syndrome (AIDS),"Thousands of images, texts and films connected to the global, intimate, personal and political story of HIV and AIDS."
dujvfptt,aazvtgwb,c7rkm5xw,a2bmfnxr,anmx9jn6,,"Manuscripts, images and books from around the world that focus on the relationship between astrology and health through the ages."
u33bzxsb,dheuyucf,b8ta3chh,bcsepbv5,c9gf5gbm,Mental health,Items tracing the development of our understanding of mental health including personal expressions of mental illness.
euehm7ng,znfyf3ph,fjrunt4w,g5n5x7f5,yaze2t6u,Sickle cell anaemia,"Items from the Black Cultural Archives, Brent Sickle Cell and Thalassaemia Centre, and the Sickle Cell Society reveal the impact of sickle cell disease."
ec77rqzq,aae69ym9,aq6nfknf,ax76cv7j,brmxdnja,,"From ancient spells to shaman rituals, our collection explores the historical role of magic in healing and culture."
g6f9sn7t,a4cyh25u,bjf4k9h8,ayhd47fs,amcp93na,Herbal medicine,"Explore a wealth of recipes, pamphlets, cultural stories and botanical treasures related to the use of plants in medicine."
bun3pg62,a44bj9st,abj9d3xk,atbfp58m,aujrqss3,,"Explore all aspects of childbirth, from medical and obstetric texts and illustrations to historical depictions of women in labour with their attendants."
cqm7r9pj,a82wvubj,avnfju7j,ayqjb4gr,ausqxa3s,,"The medical use, cultural impact and complex legacy of opium is uncovered in striking artwork and rare books."
d4r983x6,abhmqfzq,b84qy35q,r8j8gdru,bzp7z3tb,Ageing,"Intimate portraits, personal diaries and everyday objects reveal diverse experiences and evolving perspectives on wellbeing across life's later stages."
ce7rratv,ab9x6vpb,a9u4uwjj,anmu3qnz,apppvkve,,"First popularised in the 16th century, these interactive illustrations use ingenious layers or flaps to depict internal anatomy."
a4wyrvq2,dqtsemgk,b4qy6gg8,cq6hu2cp,ex6js4dn,,Discover how companies have tapped into the psychology of health and wellbeing to promote their products.
