miro-image-number,Miro image number
miro-library-reference,Miro library reference
wellcome-library-videodisk-number,Wellcome library videodisk number
sierra-system-number,Sierra system number
sierra-identifier,Sierra identifier
lc-gmgpc,Library of Congress Thesaurus for Graphic Materials
lc-subjects,Library of Congress Subject Headings (LCSH)
lc-names,Library of Congress Name authority records
nlm-mesh,Medical Subject Headings (MESH) identifier
preservica-guid,Perservica GUID
calm-ref-no,Calm RefNo
calm-altref-no,Calm AltRefNo
calm-record-id,Calm RecordIdentifier
calm-authority-code,Calm Authority Code
isbn,International Standard Book Number
issn,ISSN
mets,METS
mets-image, METS image
wellcome-digcode,Wellcome digcode
