query,index,word_count,tag,can't read,topic button
plague,0,1,,,
witchcraft,1,1,,,
clothespin,2,1,,,
anatomy,3,1,,,
anatomy,4,1,,,
zodiac,5,1,,,
A,6,1,,,
Flores,7,1,,,
butterflies,8,1,,,
Butterfly,9,1,,,
quacks,10,1,,,1
Kiss,11,1,,,
botanics,12,1,,,
madras,13,1,,,
botany,14,1,,,1
mushroom,15,1,,,
paintings,16,1,,,1
1950,17,1,,,
biology,18,1,,,
Tree illustration,19,2,,,
botany,20,1,,,1
harry styles,21,2,,,
Butterfly ,22,1,,,
ogy,23,1,,,
sword,24,1,,,
korea,25,1,,,
botany,26,1,,,1
Anatomy,27,1,,,
Psychology,29,1,,,
murderers,32,1,,,
sun,33,1,,,1
flowers,35,1,,,
anatomy,36,1,,,
Anatomy,37,1,,,
disability,38,1,,,
lochmann,39,1,,,
Plague doctor ,40,2,,,
pulp fiction,41,2,,,
Starsign,42,1,,,
"""Walker.""",43,1,1,,
anatomy,45,1,,,
botany,46,1,,,1
Libra,47,1,,,
Gatos,48,1,,,
fleurus,49,1,,,
flower,50,1,,,
anatomie ,51,1,,,
rainbow,53,1,,,
optics,54,1,,,1
sun,55,1,,,1
anatomy,56,1,,,
sunburn,57,1,,,
Flower,58,1,,,
u2,59,1,,,
sun,60,1,,,1
rappers,61,1,,,
anime,62,1,,,
mariposa,63,1,,,
fondos blancos,64,2,,,
paintings,65,1,,,1
baseball,66,1,,,
Washington DC ,67,2,,,
botany,68,1,,,1
flowers,69,1,,,
Butterflies,70,1,,,
covid 19,71,2,,,
Global development ,72,2,,,
MUSIC,73,1,,,
"""Plants.""",74,1,1,,
paintings,75,1,,,1
quacks,76,1,,,1
health,77,1,,,1
vintage,78,1,,,
anatomi,79,1,,,
 F. Beato,80,2,,,
Zodiac,82,1,,,
Harry potter,83,2,,,
flower,84,1,,,
botany,85,1,,,1
botany,86,1,,,1
Astrology ,87,1,,,
fawn,88,1,,,
greece,89,1,,,
Miaozi Album,90,2,,,
Tortugas,91,1,,,
anatomy,92,1,,,
"""Human anatomy.""",93,2,1,,
persia,94,1,,,
venezuela map,96,2,,,
botany,97,1,,,1
professional development ,98,2,,,
Vintage,99,1,,,
ayurveda,100,1,,,
TELEMEDICINE,101,1,,,
botany,102,1,,,1
zodiac signs,103,2,,,
anatomy,104,1,,,
anatomy,105,1,,,
Silent Treatment,106,2,,,
botany,107,1,,,1
death,109,1,,,
Butterflies,110,1,,,
art,111,1,,,
desktop wallpaper,112,2,,,
paintings,113,1,,,1
paintings,114,1,,,1
eyes,115,1,,,
sun,116,1,,,1
Sexy,117,1,,,
Butterfly ,118,1,,,
Zodiac signs,119,2,,,
vintage advertisements,120,2,,,
anatomy,121,1,,,
Crossfit ,122,1,,,
anatomy,123,1,,,
Robot,124,1,,,
botany,125,1,,,1
Terapias,126,1,,,
botany,127,1,,,1
imágenes térmicas,128,2,,,
Anatomy ,129,1,,,
Harry stiles,130,2,,,
music,131,1,,,
Pelvic ,132,1,,,
butterfly,133,1,,,
paintings,134,1,,,1
Tree,135,1,,,
jormungandr,136,1,,,
Film,137,1,,,
health,138,1,,,1
paintings,139,1,,,1
anatomia,141,1,,,
Flowers,142,1,,,
Anatomy ,143,1,,,
anatomy,144,1,,,
Anatomy,145,1,,,
botany,146,1,,,1
botanica,147,1,,,
dragon,148,1,,,
Konni Zilliacus,149,2,,,
anatomy,150,1,,,
QUALITY,151,1,,,
Esqueletos,153,1,,,
minimalists,154,1,,,
tarot,155,1,,,
plague,156,1,,,
Anatomy,157,1,,,
woodworking,158,1,,,
loie fuller,159,2,,,
Disney,160,1,,,
map,161,1,,,
botany,162,1,,,1
elvis,163,1,,,
anatomia,164,1,,,
zodiac,165,1,,,
disney,166,1,,,
quacks,167,1,,,1
anatomy,168,1,,,
paintings,169,1,,,1
william Blake,170,2,,,
