acqi,Info Service acquisitions
acql,Wellcome Library
admi,administration
arch,Archives Collection
bwith,bound in above
cwith,Contained in above
dbiaa,Biomedical Ethics
dcoaa,C&E
dept,Wellcome Trust departments
dhuaa,Human Resources
digi,Digitised Collections
digit,Digitised Collections
dimgs,IMS
dinad,IT:Admin
dingo,IT:Governance
dinop,IT:Operations
dinsd,IT:Systems Development
dints,IT:Training & Support
dlnk,Digitised content
dpleg,Legal Dept.
dpoaa,Policy Unit
dpuih,Grants Management
elrm,E-Learning Room
elro,Online
enhl,Enquiry Hall
epbo,Rare Books Collection
exre,ON EXHIBITION RESERVE
exres,On Exhibition
foto,Medical Photo Library
gblip,215 Information Point
gibb,Wellcome Trust departments
hamp,Offsite
hgser,Offsite
hgslr,Offsite (LSHTM journals)
hicon,OBSOLETE Offsite Iconographic
hmfac,REQUEST Moving image and sound collections
homc,History of Medicine Collection
home,Wellcome Library
icno,Iconographic Collection
illd,ILL Department
info,Open shelves
iscdr,Medicine & Society Collection CDROM
isope,Medicine & Society Collection
ispre,Closed stores Press Cuttings
isref,OBSOLETE journals
issta,Closed stores Medicine & Society
isvid,Information Service Video
ledw,Enquiry Desk
medc,Medical Collection
mfgmc,Closed stores Graves Med.AV col
mfinc,Closed stores Inst.Neurol.Coll.
mfohc,Closed stores Moving image and sound collections
mfulc,Closed stores Univ.Lon. AV Coll
mfvac,Closed stores Moving image and sound collections
mfvl,Closed stores
mfwcm,Well.Centre for Med.Sci.
nist,Not In Stock
ofacq,OBSOLETE Closed stores Staff Office Acq
ofarw,Closed stores Archives Workroom
ofch1,OBSOLETE Closed stores Staff Office 313
ofcur,OBSOLETE Closed stores Staff Office CW
ofdj1,OBSOLETE Closed stores Staff Office 320
ofdp1,Closed stores Head of Library's Office
ofep1,Closed stores Rare Books Staff Area
ofep2,OBSOLETE Closed stores Staff Office 342
ofep3,OBSOLETE Closed stores Staff Office 343
ofexh,Closed stores Exhibitions Office
ofgcc,Closed stores Collections Management Office
ofinf,Closed stores Professional Collection
ofjs1,"Closed stores Head, Research & Special Collections"
oflh1,OBSOLETE Closed stores Staff Office 322
oflis,OBSOLETE Closed stores Staff Office 258
ofmfa,Closed stores MISC Office
ofmpl,Closed stores MPL Office
ofmsj,Closed stores 1st floor staff office
ofna1,OBSOLETE Closed stores Staff Office 242
ofns1,Closed stores Asian Collection Staff Area
ofor3,Closed stores Outreach Officer
ofpld,OBSOLETE Closed stores Staff Office 348
ofra1,Closed stores Staff Office 325
ofres,OBSOLETE Closed stores Readers Services Office
ofrk1,Closed stores Digital Services
ofsg1,OBSOLETE Closed stores Staff Office 223
ofvds,Closed stores Human Resources Office
ofvn1,OBSOLETE Closed stores Staff Office VN
ofws1,Closed stores Iconographic Office
ofzs1,OBSOLETE Closed stores Staff Office 311
orio,Asian Collections
poyn,Rare Materials Room
resv,EXHIBITION RESERVE
rm001,Room 3.42
rmdda,Room 3.41
sc#ac,Unrequestable Arch. & MSS
sc#ra,Unrequestable A&MSS RAMC
sc#wa,Unrequestable A&MSS WA
sc#wf,Unrequestable A&MSS WF
scmac,Closed stores Arch. & MSS
scmra,Closed stores A&MSS RAMC
scmwa,Closed stores A&MSS Well.Arch.
scmwc,Archives & Mss Well.Coll.
scmwf,Closed stores A&MSS Well.Found.
scons,Conservation
sehuf,Closed stores EPB Hunt.G.O/S
sehun,Closed stores EPB Hunt.
sehup,Closed stores EPB Hunt. pam
sehux,Closed stores EPB Hunt. O/S
semfc,RESTRICTED
semfm,Closed stores EPB m/film
semsa,Closed stores EPB MSL A
semsb,Closed stores EPB MSL B
semsc,Closed stores EPB MSL C
semsd,Closed stores EPB MSL D
semsf,Closed stores EPB MSL G. O/S
semsl,Closed stores EPB MSL
semss,Closed stores EPB MSL journals
semst,Closed stores EPB MSL tracts
sepaf,Closed stores EPB Amer.G.O/S
sepah,Closed stores EPB Austro-Hung.
sepal,Closed stores EBP Almanac
sepam,Closed stores EPB American
sepax,Closed stores EPB Amer. O/S
sepba,Closed stores EPB / A
sepbb,Closed stores EPB / B
sepbc,Closed stores EPB / C
sepbd,Closed stores EPB / D
sepbf,Closed stores EPB G. O/S
sepbi,Closed stores EPB Biog p.Vol
sepbk,Closed stores EPB
sepbl,Closed stores EPB Books for the Blind
sepbn,Closed stores EPB Bindings
